ORG_NCES_ID,ORG_CODE,ORG_NAME,DISTRICT_NAME
2501650,00010000,Abington,Abington School District
2501680,00020000,Acton,Acton School District
2501710,06000000,Acton-Boxborough,Acton-Boxborough School District
2501740,00030000,Acushnet,Acushnet School District
2501780,06030000,Adams-Cheshire,Adams-Cheshire School District
2501800,00050000,Agawam,Agawam School District
2501860,00070000,Amesbury,Amesbury School District
2501890,00080000,Amherst,Amherst School District
2501920,06050000,Amherst-Pelham,Amherst-Pelham School District
2501950,00090000,Andover,Andover School District
2501980,00100000,Arlington,Arlington School District
2502040,06100000,Ashburnham-Westminster,Ashburnham-Westminster School District
2502100,00140000,Ashland,Ashland School District
2502160,06150000,Athol-Royalston,Athol-Royalston School District
2502190,00160000,Attleboro,Attleboro School District
2502220,00170000,Auburn,Auburn School District
2502250,00180000,Avon,Avon School District
2500542,06160000,Ayer Shirley School District,Ayer-Shirley School District
2502310,00200000,Barnstable,Barnstable School District
2502400,00230000,Bedford,Bedford School District
2502430,00240000,Belchertown,Belchertown School District
2502460,00250000,Bellingham,Bellingham School District
2502490,00260000,Belmont,Belmont School District
2502520,00270000,Berkley,Berkley School District
2502530,06180000,Berkshire Hills,Berkshire Hills School District
2502550,00280000,Berlin,Berlin School District
2502580,06200000,Berlin-Boylston,Berlin-Boylston School District
2502640,00300000,Beverly,Beverly School District
2502670,00310000,Billerica,Billerica School District
2502715,06220000,Blackstone-Millville,Blackstone-Millville School District
2502790,00350000,Boston,Boston School District
2502820,00360000,Bourne,Bourne School District
2502850,00370000,Boxborough,Boxborough School District
2502880,00380000,Boxford,Boxford School District
2502910,00390000,Boylston,Boylston School District
2502940,00400000,Braintree,Braintree School District
2502970,00410000,Brewster,Brewster School District
2503030,06250000,Bridgewater-Raynham,Bridgewater-Raynham School District
2503060,00430000,Brimfield,Brimfield School District
2503090,00440000,Brockton,Brockton School District
2503120,00450000,Brookfield,Brookfield School District
2503150,00460000,Brookline,Brookline School District
2503240,00480000,Burlington,Burlington School District
2503270,00490000,Cambridge,Cambridge School District
2503300,00500000,Canton,Canton School District
2503330,00510000,Carlisle,Carlisle School District
2503360,00520000,Carver,Carver School District
2503390,06350000,Central Berkshire,Central Berkshire School District
2503480,00550000,Chatham (Non-op),Chatham School District
2503510,00560000,Chelmsford,Chelmsford School District
2503540,00570000,Chelsea,Chelsea School District
2500014,06320000,Chesterfield-Goshen,Chesterfield-Goshen School District
2503660,00610000,Chicopee,Chicopee School District
2503720,00630000,Clarksburg,Clarksburg School District
2503750,00640000,Clinton,Clinton School District
2503780,00650000,Cohasset,Cohasset School District
2503840,00670000,Concord,Concord School District
2503870,06400000,Concord-Carlisle,Concord-Carlisle School District
2503900,00680000,Conway,Conway School District
2503990,00710000,Danvers,Danvers School District
2504020,00720000,Dartmouth,Dartmouth School District
2504050,00730000,Dedham,Dedham School District
2504080,00740000,Deerfield,Deerfield School District
2504140,06450000,Dennis-Yarmouth,Dennis-Yarmouth School District
